RACE,YEAR,RANK,FINISHING TIME,NAME,GENDER
SUMMER SPINE RACE,2024,1,79:10:14,Chris Cope,Male
SUMMER SPINE RACE,2024,2,99:01:54,Jacob Hayes,Male
SUMMER SPINE RACE,2024,3,110:42:24,John Boothman,Male
SUMMER SPINE RACE,2024,4,113:37:52,Steven Malone,Male
SUMMER SPINE RACE,2024,5,113:52:54,Stuart Cameron,Male
SUMMER SPINE RACE,2024,6,114:19:52,Stephen Hurren,Male
SUMMER SPINE RACE,2024,7,115:01:35,Mark Harding,Male
SUMMER SPINE RACE,2024,8,118:39:04,Ian Mclaren,Male
SUMMER SPINE RACE,2024,9,121:12:58,Simon Smith,Male
SUMMER SPINE RACE,2024,10,122:43:49,Ben Morris,Male
SUMMER SPINE RACE,2024,10,122:43:49,Sue Straw,Female
SUMMER SPINE RACE,2024,12,127:20:56,Pedro Soriano Guerrero,Male
SUMMER SPINE RACE,2024,13,128:07:52,Nick Elford,Male
SUMMER SPINE RACE,2024,14,130:47:43,Rob Keel,Male
SUMMER SPINE RACE,2024,15,130:50:17,Richard Ward,Male
SUMMER SPINE RACE,2024,16,131:04:26,Ewan Smith,Male
SUMMER SPINE RACE,2024,17,131:34:10,Mark Brooks,Male
SUMMER SPINE RACE,2024,18,131:40:31,Daniel Orford,Male
SUMMER SPINE RACE,2024,19,132:20:06,David Larkam,Male
SUMMER SPINE RACE,2024,20,132:27:01,Chris Keri-Nagy,Male
SUMMER SPINE RACE,2024,20,132:27:01,Nick Mayers,Male
SUMMER SPINE RACE,2024,22,132:54:02,Frank Atherton,Male
SUMMER SPINE RACE,2024,22,132:54:02,Martin Hill,Male
SUMMER SPINE RACE,2024,24,132:54:58,Sean Nickell,Male
SUMMER SPINE RACE,2024,25,133:02:43,Simon Franklin,Male
SUMMER SPINE RACE,2024,26,133:02:44,Alex Morley,Male
SUMMER SPINE RACE,2024,27,134:39:37,Rachel Price,Female
SUMMER SPINE RACE,2024,28,135:03:43,James Holloway,Male
SUMMER SPINE RACE,2024,29,135:04:01,Jan Nouwens,Male
SUMMER SPINE RACE,2024,30,135:37:47,Adam U'Glow Jones,Male
SUMMER SPINE RACE,2024,31,138:01:27,Linn Davies Sahlström,Female
SUMMER SPINE RACE,2024,31,138:01:27,Mael Jouan,Male
SUMMER SPINE RACE,2024,33,139:39:26,Sean Higgins,Male
SUMMER SPINE RACE,2024,34,143:13:29,Philip Padfield,Male
SUMMER SPINE RACE,2024,35,143:25:20,Rob Watkins,Male
SUMMER SPINE RACE,2024,36,145:05:24,Amber Yorke,Female
SUMMER SPINE RACE,2024,37,145:05:33,Colin Green,Male
SUMMER SPINE RACE,2024,38,145:24:01,Kirstie Law,Female
SUMMER SPINE RACE,2024,39,145:43:50,Raj Mahapatra,Male
SUMMER SPINE RACE,2024,40,146:59:54,Darren Moore,Male
SUMMER SPINE RACE,2024,41,149:57:09,Tim Palfreman,Male
SUMMER SPINE RACE,2024,42,150:13:47,David Brocklesby,Male
SUMMER SPINE RACE,2024,43,150:34:36,Jen Wilson,Female
SUMMER SPINE RACE,2024,44,150:34:45,Dave Ellis,Male
SUMMER SPINE RACE,2024,45,153:25:11,Graeme Brouder,Male
SUMMER SPINE RACE,2024,46,153:45:07,Alan Cormack,Male
SUMMER SPINE RACE,2024,47,154:58:15,Paul Mettam,Male
SUMMER SPINE RACE,2024,47,154:58:15,Lindsy Slamon,Female
SUMMER SPINE RACE,2024,49,154:58:16,Philip Meads,Male
SUMMER SPINE RACE,2024,50,29:53:44,Brian Pickett,Male
SUMMER SPINE RACE,2024,51,29:56:36,Jeremy Decock,Male
SUMMER SPINE RACE,2024,52,31:02:52,Mark Potts,Male
SUMMER SPINE RACE,2024,53,33:52:03,Chris Phillips,Male
SUMMER SPINE RACE,2024,54,35:10:47,James Cobbold,Male
SUMMER SPINE RACE,2024,55,19:17:57,Jon Shield,Male
SUMMER SPINE RACE,2024,56,20:12:16,Sam Moppett,Male
SUMMER SPINE RACE,2024,57,21:50:01,Bjarte Wetteland,Male
SUMMER SPINE RACE,2024,58,22:49:38,Alex Ing-Simmons,Male
SUMMER SPINE RACE,2024,59,10:03:58,Benjamin Slingsby,Male
SUMMER SPINE RACE,2024,60,13:51:10,Mike Stevenson,Male
SUMMER SPINE RACE,2024,61,14:04:07,Mario Penzen,Male
SUMMER SPINE RACE,2024,62,14:05:46,Stuart Humber,Male
SUMMER SPINE RACE,2024,63,14:10:07,Mick Browne,Male
SUMMER SPINE RACE,2024,64,14:57:07,Antony Brown,Male
SUMMER SPINE RACE,2024,65,15:03:08,James Cripps,Male
SUMMER SPINE RACE,2024,66,15:03:57,Mike Shaw,Male
SUMMER SPINE RACE,2024,67,15:18:55,Gordon Hughes,Male
SUMMER SPINE RACE,2024,68,15:49:36,Johnny Ferguson,Male
SUMMER SPINE RACE,2024,69,17:27:55,John Nicholson,Male
SUMMER SPINE RACE,2024,70,17:33:47,Digby Tattersall,Male
SUMMER SPINE RACE,2024,71,17:51:43,Ian Evans,Male
SUMMER SPINE RACE,2024,72,18:21:58,David Coulthard,Male
SUMMER SPINE RACE,2024,73,18:32:15,Hiroyuki Tamagawa,Male
SUMMER SPINE RACE,2024,74,20:40:45,Ian Dalton,Male
SUMMER SPINE RACE,2024,75,13:59:13,Elliot Maslen,Male
SUMMER SPINE RACE,2024,76,14:01:40,Alexandra McClellan,Female
SUMMER SPINE RACE,2024,77,14:23:44,Ben Carroll,Male
SUMMER SPINE RACE,2024,DNF,DNF,Catherine Cowie,Female
SUMMER SPINE RACE,2024,DNF,DNF,Irene Kinnegim,Female
SUMMER SPINE RACE,2024,DNF,DNF,Alastair Ratcliffe,Male
SUMMER SPINE RACE,2024,DNF,DNF,Gary Smith,Male
SUMMER SPINE RACE,2024,DNF,DNF,Len Darnton,Male
SUMMER SPINE RACE,2024,DNF,DNF,Chris Hunt,Male
SUMMER SPINE RACE,2024,DNF,DNF,John Taylor,Male
SUMMER SPINE RACE,2024,DNF,DNF,Graham Molyneux,Male
SUMMER SPINE RACE,2024,DNF,DNF,Fiona Jenkinson,Female
SUMMER SPINE RACE,2024,DNF,DNF,Nicholas Moore,Male
SUMMER SPINE RACE,2024,DNF,DNF,Chris Crane,Male
SUMMER SPINE RACE,2024,DNF,DNF,Peter Hemmings,Male
SUMMER SPINE RACE,2024,DNF,DNF,Tony Horne,Male
SUMMER SPINE RACE,2024,DNF,DNF,Graham Cauley,Male
SUMMER SPINE RACE,2024,DNF,DNF,Fergus Melligan,Male
SUMMER SPINE RACE,2024,DNF,DNF,Tom King,Male
SUMMER SPINE RACE,2024,DNF,DNF,Louise Goddard,Female
SUMMER SPINE RACE,2024,DNF,DNF,Paul Hunt,Male
SUMMER SPINE RACE,2024,DNF,DNF,Tim Jowett,Male
SUMMER SPINE RACE,2024,DNF,DNF,Chris Foot,Male
SUMMER SPINE RACE,2024,DNF,DNF,Nicholas Tipper,Male
SUMMER SPINE RACE,2024,DNF,DNF,Jason Stobbs,Male
SUMMER SPINE RACE,2024,DNF,DNF,Mark Baines,Male
SUMMER SPINE RACE,2024,DNF,DNF,Steve O'Connor,Male
SUMMER SPINE RACE,2024,DNF,DNF,Lynn Murphy,Female
SUMMER SPINE RACE,2024,DNF,DNF,Sam Choroszewski,Male
SUMMER SPINE RACE,2024,DNF,DNF,Oliver Bond,Male
SUMMER SPINE RACE,2024,DNF,DNF,Oliver Duncan-King,Male
SUMMER SPINE RACE,2024,DNF,DNF,Jayne Wetherley,Female
SUMMER SPINE RACE,2024,DNF,DNF,Robert Cullen,Male
SUMMER SPINE RACE,2024,DNF,DNF,David Wright,Male
SUMMER SPINE RACE,2024,DNF,DNF,Richard Whitaker,Male
SUMMER SPINE RACE,2023,1,76:59:33,Dave Phillips,M
SUMMER SPINE RACE,2023,2,93:12:27,Peter Mortimer,M
SUMMER SPINE RACE,2023,3,94:12:19,Phil Harris,M
SUMMER SPINE RACE,2023,4,96:23:06,Michael Hyde,M
SUMMER SPINE RACE,2023,5,98:33:18,Rory Bevin,M
SUMMER SPINE RACE,2023,6,101:39:50,Jenny Yeo,F
SUMMER SPINE RACE,2023,7,109:37:50,Laura Swanton-Rouvelin,F
SUMMER SPINE RACE,2023,7,109:37:50,Rob Moore,M
SUMMER SPINE RACE,2023,9,111:05:18,Julian Ayres,M
SUMMER SPINE RACE,2023,10,116:53:11,Stuart Secker,M
SUMMER SPINE RACE,2023,11,120:53:26,Julian Wareham,M
SUMMER SPINE RACE,2023,11,120:53:26,Paul-Alexandre NEVEU,M
SUMMER SPINE RACE,2023,13,126:23:54,John Marshall,M
SUMMER SPINE RACE,2023,14,126:23:55,Dave Beales,M
SUMMER SPINE RACE,2023,15,126:52:16,Soonseng Ong,M
SUMMER SPINE RACE,2023,16,127:23:04,Geoff Bell,M
SUMMER SPINE RACE,2023,17,128:04:31,Colin Weller,M
SUMMER SPINE RACE,2023,18,128:13:14,Alice Kershaw,F
SUMMER SPINE RACE,2023,19,129:28:18,Sean Higgins,M
SUMMER SPINE RACE,2023,20,130:08:47,Martin Schneekloth,M
SUMMER SPINE RACE,2023,21,130:08:51,Sander Boom,M
SUMMER SPINE RACE,2023,22,130:27:53,Attila Lipniczky,M
SUMMER SPINE RACE,2023,23,131:38:19,Mike Armstrong,M
SUMMER SPINE RACE,2023,24,131:43:04,Nick Day,M
SUMMER SPINE RACE,2023,25,132:15:46,Tony Trundley,M
SUMMER SPINE RACE,2023,26,132:34:32,Robert Cullen,M
SUMMER SPINE RACE,2023,27,132:51:10,Gordon Hughes,M
SUMMER SPINE RACE,2023,28,133:18:19,Phil Humphries,M
SUMMER SPINE RACE,2023,28,133:18:19,Tony Sharkey,M
SUMMER SPINE RACE,2023,30,133:40:34,Grzegorz Korsak,M
SUMMER SPINE RACE,2023,30,133:40:34,Amanda Ross,F
SUMMER SPINE RACE,2023,30,133:43:34,Sue Straw,F
SUMMER SPINE RACE,2023,33,134:31:47,Georg Kirsch,M
SUMMER SPINE RACE,2023,34,136:36:58,James Slaughter,M
SUMMER SPINE RACE,2023,35,139:13:25,Lucas Farrell,M
SUMMER SPINE RACE,2023,36,141:50:26,Geoffrey Barnes,M
SUMMER SPINE RACE,2023,37,142:29:24,Matthew Neale,M
SUMMER SPINE RACE,2023,38,143:00:53,Nick Summers,M
SUMMER SPINE RACE,2023,39,145:09:59,Esteve Gaona Sanz,M
SUMMER SPINE RACE,2023,39,145:09:59,Paco Ramos Martin,M
SUMMER SPINE RACE,2023,41,145:47:01,Clare Holdcroft,F
SUMMER SPINE RACE,2023,42,146:20:15,Heidi Haigh,F
SUMMER SPINE RACE,2023,43,146:23:20,David Coulthard,M
SUMMER SPINE RACE,2023,44,148:31:18,Adrian Gosling,M
SUMMER SPINE RACE,2023,45,148:31:19,Jo Dixon,F
SUMMER SPINE RACE,2023,45,148:31:19,Vanessa Kellie,F
SUMMER SPINE RACE,2023,47,150:08:56,James Thomas,M
SUMMER SPINE RACE,2023,48,151:05:00,Catherine Hill,F
SUMMER SPINE RACE,2023,49,151:21:44,Chloe Brooks,F
SUMMER SPINE RACE,2023,50,151:24:59,Kingsley Phillips,M
SUMMER SPINE RACE,2023,51,151:32:43,Gary Binns,M
SUMMER SPINE RACE,2023,52,151:38:59,Emma Greig,F
SUMMER SPINE RACE,2023,53,151:43:30,Paul Fosh,M
SUMMER SPINE RACE,2023,54,152:04:25,Jacob Gloor,M
SUMMER SPINE RACE,2023,55,152:06:39,Leslie Binns,M
SUMMER SPINE RACE,2023,56,152:12:59,John Fanshawe,M
SUMMER SPINE RACE,2023,57,153:08:59,Rachel Gorajala,F
SUMMER SPINE RACE,2023,58,153:40:18,Phil Bristow,M
SUMMER SPINE RACE,2023,59,154:09:34,Xavier Chaduc,M
SUMMER SPINE RACE,2023,60,154:57:39,Darren Summers,M
SUMMER SPINE RACE,2023,61,155:09:33,Rob Gittins,M
SUMMER SPINE RACE,2023,61,155:09:33,Angela Drakeford,F
SUMMER SPINE RACE,2023,DNF,DNF,David Brocklesby,M
SUMMER SPINE RACE,2023,DNF,DNF,Alan Cormack,M
SUMMER SPINE RACE,2023,DNF,DNF,Richard Whitaker,M
SUMMER SPINE RACE,2023,DNF,DNF,Gerry Dance,M
SUMMER SPINE RACE,2023,DNF,DNF,Lisa Wright,F
SUMMER SPINE RACE,2023,DNF,DNF,Rachel Price,F
SUMMER SPINE RACE,2023,DNF,DNF,Graeme Brouder,M
SUMMER SPINE RACE,2023,DNF,DNF,Andrew Disley,M
SUMMER SPINE RACE,2023,DNF,DNF,bernie O'Fagan,M
SUMMER SPINE RACE,2023,DNF,DNF,Mordehai Pekar,M
SUMMER SPINE RACE,2023,DNF,DNF,James Cobbold,M
SUMMER SPINE RACE,2023,DNF,DNF,Kevin Hadfield,M
SUMMER SPINE RACE,2023,DNF,DNF,Fergus Melligan,M
SUMMER SPINE RACE,2023,DNF,DNF,Stephen Crafford,M
SUMMER SPINE RACE,2023,DNF,DNF,Johnny Ferguson,M
SUMMER SPINE RACE,2023,DNF,DNF,Christopher Viscomi,M
SUMMER SPINE RACE,2023,DNF,DNF,Richard Beard,M
SUMMER SPINE RACE,2023,DNF,DNF,Michael Harlick,M
SUMMER SPINE RACE,2023,DNF,DNF,Andrew Morley,M
SUMMER SPINE RACE,2023,DNF,DNF,James Goodwill,M
SUMMER SPINE RACE,2023,DNF,DNF,Lindsy Slamon,F
SUMMER SPINE RACE,2023,DNF,DNF,Steven Sidhu,M
SUMMER SPINE RACE,2023,DNF,DNF,Timothy Pickering,M
SUMMER SPINE RACE,2023,DNF,DNF,pascale mathonet,F
SUMMER SPINE RACE,2023,DNF,DNF,Steve Dillon,M
SUMMER SPINE RACE,2023,DNF,DNF,Stephanie Kitts,F
SUMMER SPINE RACE,2023,DNF,DNF,Natasha Blackburn,F
SUMMER SPINE RACE,2023,DNF,DNF,Mike Jacobs,M
SUMMER SPINE RACE,2023,DNF,DNF,Dean Corrie,M
SUMMER SPINE RACE,2023,DNF,DNF,Anna Paxton,F
SUMMER SPINE RACE,2023,DNF,DNF,Mark Mears-Baldwin,M
SUMMER SPINE RACE,2023,DNF,DNF,John Nicholson,M
SUMMER SPINE RACE,2023,DNF,DNF,Oliver Duncan-King,M
SUMMER SPINE RACE,2023,DNF,DNF,Braden Roux de Buisson,M
SUMMER SPINE RACE,2023,DNF,DNF,Luke Wigman,M
SUMMER SPINE RACE,2023,DNF,DNF,Alison Walker,F
SUMMER SPINE RACE,2023,DNF,DNF,James Parsons,M
SUMMER SPINE RACE,2023,DNF,DNF,Matthias Klaus,M
SUMMER SPINE RACE,2023,DNF,DNF,Raymond Evans,M
SUMMER SPINE RACE,2023,DNF,DNF,Kunal Yadav,M
SUMMER SPINE RACE,2023,DNF,DNF,Sam Hennegan,M
SUMMER SPINE RACE,2022,1,70:46:50,Tiaan Erwee,M
SUMMER SPINE RACE,2022,2,78:57:49,Anna Troup,F
SUMMER SPINE RACE,2022,3,83:55:10,Mark Potts,M
SUMMER SPINE RACE,2022,4,88:45:01,James Leavesley,M
SUMMER SPINE RACE,2022,5,94:36:28,Michael Burke,M
SUMMER SPINE RACE,2022,6,96:26:33,ANTHONY Stevens,M
SUMMER SPINE RACE,2022,7,97:53:05,Rob Moore,M
SUMMER SPINE RACE,2022,8,103:34:13,Richard Hoyland,M
SUMMER SPINE RACE,2022,9,105:02:26,Lizzie Faithfull-Davies,F
SUMMER SPINE RACE,2022,9,105:02:26,Andy Davy,M
SUMMER SPINE RACE,2022,11,106:01:25,Rory Bennett,M
SUMMER SPINE RACE,2022,12,112:03:48,Mathew Favell,M
SUMMER SPINE RACE,2022,13,113:57:26,Martin Hill,M
SUMMER SPINE RACE,2022,14,114:04:51,Robert Cullen,M
SUMMER SPINE RACE,2022,15,114:24:30,Chris Murphy,M
SUMMER SPINE RACE,2022,16,114:24:38,Kevin Bowen,M
SUMMER SPINE RACE,2022,17,114:30:27,Mark Bissett,M
SUMMER SPINE RACE,2022,18,116:15:58,Paul-Alexandre NEVEU,M
SUMMER SPINE RACE,2022,19,116:35:34,Barney Burton,M
SUMMER SPINE RACE,2022,20,118:09:03,Joanna Edwards,F
SUMMER SPINE RACE,2022,21,119:29:17,Sharon Gayter,F
SUMMER SPINE RACE,2022,21,119:29:17,Mark Clegg,M
SUMMER SPINE RACE,2022,23,127:41:56,Andy Morris,M
SUMMER SPINE RACE,2022,24,127:41:56,BRIAN HAMILTON,M
SUMMER SPINE RACE,2022,25,128:50:19,Dave Arnold,M
SUMMER SPINE RACE,2022,26,129:50:25,wijnand Jager,M
SUMMER SPINE RACE,2022,27,129:52:43,Gerry Dance,M
